Source;Target;Type;Id;Label;Weight
0;1;Directed;0;0;129359.2
1;2;Directed;1;1;219317
2;3;Directed;2;2;295365
3;4;Directed;3;3;424724.2
3;5;Directed;4;4;309915
5;6;Directed;5;5;439274.2
6;7;Directed;6;6;529232
5;8;Directed;7;7;554859.4
8;9;Directed;8;8;684218.6
5;10;Directed;9;9;385963
10;11;Directed;10;10;515322.2
10;12;Directed;11;11;397021
10;13;Directed;12;12;462011
5;14;Directed;13;13;343089
14;15;Directed;14;14;374905
14;16;Directed;15;15;419137
3;17;Directed;16;16;306423
17;18;Directed;17;17;435782.2
18;19;Directed;18;18;525740
17;20;Directed;19;19;551367.4
20;21;Directed;20;20;680726.6
17;22;Directed;21;21;382471
22;23;Directed;22;22;511830.2
22;24;Directed;23;23;397021
22;25;Directed;24;24;393529
22;26;Directed;25;25;458519
17;27;Directed;26;26;339597
27;28;Directed;27;27;371413
27;29;Directed;28;28;415645
3;30;Directed;29;29;371413
30;31;Directed;30;30;500772.2
31;32;Directed;31;31;590730
30;33;Directed;32;32;385963
33;34;Directed;33;33;515322.2
33;35;Directed;34;34;475920.8
33;36;Directed;35;35;630907.4
33;37;Directed;36;36;462011
33;38;Directed;37;37;419137
30;39;Directed;38;38;382471
39;40;Directed;39;39;511830.2
39;41;Directed;40;40;472428.8
39;42;Directed;41;41;627415.4
39;43;Directed;42;42;458519
39;44;Directed;43;43;415645
30;45;Directed;44;44;447461
45;46;Directed;45;45;576820.2
45;47;Directed;46;46;462011
45;48;Directed;47;47;458519
45;49;Directed;48;48;523509
0;50;Directed;49;49;89957.8
50;51;Directed;50;50;166005.8
51;52;Directed;51;51;295365
51;53;Directed;52;52;180555.8
53;54;Directed;53;53;309915
54;55;Directed;54;54;399872.8
55;56;Directed;55;55;475920.8
53;57;Directed;56;56;425500.2
57;58;Directed;57;57;554859.4
58;59;Directed;58;58;644817.2
53;60;Directed;59;59;256603.8
60;61;Directed;60;60;385963
61;62;Directed;61;61;475920.8
60;63;Directed;62;62;267661.8
63;64;Directed;63;63;397021
63;65;Directed;64;64;357619.6
63;66;Directed;65;65;512606.2
63;67;Directed;66;66;343709.8
63;68;Directed;67;67;300835.8
60;69;Directed;68;68;332651.8
69;70;Directed;69;69;462011
69;71;Directed;70;70;347201.8
69;72;Directed;71;71;343709.8
69;73;Directed;72;72;408699.8
53;74;Directed;73;73;213729.8
74;75;Directed;74;74;245545.8
75;76;Directed;75;75;321593.8
74;77;Directed;76;76;289777.8
77;78;Directed;77;77;419137
77;79;Directed;78;78;304327.8
77;80;Directed;79;79;300835.8
77;81;Directed;80;80;365825.8
51;82;Directed;81;81;177063.8
82;83;Directed;82;82;306423
83;84;Directed;83;83;396380.8
84;85;Directed;84;84;472428.8
82;86;Directed;85;85;422008.2
86;87;Directed;86;86;551367.4
87;88;Directed;87;87;641325.2
82;89;Directed;88;88;253111.8
89;90;Directed;89;89;382471
90;91;Directed;90;90;472428.8
89;92;Directed;91;91;267661.8
92;93;Directed;92;92;397021
